2011-10-12 11:23:54 Notice: Notice (8): Undefined index: remember_me in [/var/www/vhosts/groofi.com/httpdocs/app/controllers/users_controller.php, line 113]
2011-10-14 00:30:05 Notice: Notice (8): Use of undefined constant USER_LEVEL_USER - assumed 'USER_LEVEL_USER' in [/var/www/vhosts/groofi.com/httpdocs/app/app_controller.php, line 141]
2011-10-14 15:28:06 Notice: Notice (8): Undefined index: remember_me in [/var/www/vhosts/groofi.com/httpdocs/app/controllers/users_controller.php, line 113]
2011-10-14 15:32:11 Notice: Notice (8): Undefined index: basename in [/var/www/vhosts/groofi.com/httpdocs/app/models/user.php, line 367]
2011-10-14 15:32:36 Notice: Notice (8): Undefined index: basename in [/var/www/vhosts/groofi.com/httpdocs/app/models/user.php, line 367]
2011-10-14 15:33:24 Notice: Notice (8): Undefined index: basename in [/var/www/vhosts/groofi.com/httpdocs/app/models/user.php, line 367]
2011-10-14 15:34:38 Notice: Notice (8): Undefined index: remember_me in [/var/www/vhosts/groofi.com/httpdocs/app/controllers/users_controller.php, line 113]
2011-10-14 15:37:53 Notice: Notice (8): Undefined index: basename in [/var/www/vhosts/groofi.com/httpdocs/app/models/user.php, line 367]
2011-10-14 15:41:58 Notice: Notice (8): Undefined index: remember_me in [/var/www/vhosts/groofi.com/httpdocs/app/controllers/users_controller.php, line 113]
2011-10-14 15:45:13 Notice: Notice (8): Undefined index: remember_me in [/var/www/vhosts/groofi.com/httpdocs/app/controllers/users_controller.php, line 113]
2011-10-14 15:52:39 Notice: Notice (8): Undefined variable: i in [/var/www/vhosts/groofi.com/httpdocs/app/webroot/js.php, line 43]
2011-10-14 15:52:50 Notice: Notice (8): Undefined index: basename in [/var/www/vhosts/groofi.com/httpdocs/app/models/user.php, line 367]
2011-10-14 15:53:09 Notice: Notice (8): Undefined index: remember_me in [/var/www/vhosts/groofi.com/httpdocs/app/controllers/users_controller.php, line 113]
2011-10-14 16:01:35 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:01:35 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
2011-10-14 16:03:06 Notice: Notice (8): Undefined variable: facebookUser in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 143]
2011-10-14 16:03:06 Notice: Notice (8): Undefined variable: site_categories in [/var/www/vhosts/groofi.com/httpdocs/app/views/layouts/default.ctp, line 257]
